Size: 80; Len: 40; C: 0.2;     Score: 0.6
Size: 80; Len: 40; C: 0.6;     Score: 0.6
Size: 80; Len: 40; C: 1.0;     Score: 0.6
Size: 80; Len: 40; C: 1.4;     Score: 0.6
Size: 80; Len: 40; C: 1.8;     Score: 0.6
Size: 80; Len: 40; C: 2.2;     Score: 0.6
Size: 80; Len: 40; C: 2.6;     Score: 0.6
Size: 80; Len: 40; C: 3.0;     Score: 0.6
Size: 80; Len: 40; C: 3.4;     Score: 0.59
Size: 80; Len: 40; C: 3.8;     Score: 0.6
Size: 80; Len: 40; C: 4.2;     Score: 0.6
Size: 80; Len: 140; C: 0.2;     Score: 0.64
Size: 80; Len: 140; C: 0.6;     Score: 0.64
Size: 80; Len: 140; C: 1.0;     Score: 0.64
Size: 80; Len: 140; C: 1.4;     Score: 0.63
Size: 80; Len: 140; C: 1.8;     Score: 0.64
Size: 80; Len: 140; C: 2.2;     Score: 0.64
Size: 80; Len: 140; C: 2.6;     Score: 0.64
Size: 80; Len: 140; C: 3.0;     Score: 0.63
Size: 80; Len: 140; C: 3.4;     Score: 0.64
Size: 80; Len: 140; C: 3.8;     Score: 0.64
Size: 80; Len: 140; C: 4.2;     Score: 0.64
Size: 80; Len: 240; C: 0.2;     Score: 0.68
Size: 80; Len: 240; C: 0.6;     Score: 0.68
Size: 80; Len: 240; C: 1.0;     Score: 0.67
Size: 80; Len: 240; C: 1.4;     Score: 0.68
Size: 80; Len: 240; C: 1.8;     Score: 0.68
Size: 80; Len: 240; C: 2.2;     Score: 0.67
Size: 80; Len: 240; C: 2.6;     Score: 0.67
Size: 80; Len: 240; C: 3.0;     Score: 0.68
Size: 80; Len: 240; C: 3.4;     Score: 0.68
Size: 80; Len: 240; C: 3.8;     Score: 0.67
Size: 80; Len: 240; C: 4.2;     Score: 0.67
Size: 80; Len: 340; C: 0.2;     Score: 0.72
Size: 80; Len: 340; C: 0.6;     Score: 0.72
Size: 80; Len: 340; C: 1.0;     Score: 0.72
Size: 80; Len: 340; C: 1.4;     Score: 0.71
Size: 80; Len: 340; C: 1.8;     Score: 0.71
Size: 80; Len: 340; C: 2.2;     Score: 0.72
Size: 80; Len: 340; C: 2.6;     Score: 0.71
Size: 80; Len: 340; C: 3.0;     Score: 0.72
Size: 80; Len: 340; C: 3.4;     Score: 0.72
Size: 80; Len: 340; C: 3.8;     Score: 0.72
Size: 80; Len: 340; C: 4.2;     Score: 0.71
Size: 80; Len: 440; C: 0.2;     Score: 0.75
Size: 80; Len: 440; C: 0.6;     Score: 0.75
Size: 80; Len: 440; C: 1.0;     Score: 0.75
Size: 80; Len: 440; C: 1.4;     Score: 0.73
Size: 80; Len: 440; C: 1.8;     Score: 0.75
Size: 80; Len: 440; C: 2.2;     Score: 0.74
Size: 80; Len: 440; C: 2.6;     Score: 0.74
Size: 80; Len: 440; C: 3.0;     Score: 0.74
Size: 80; Len: 440; C: 3.4;     Score: 0.74
Size: 80; Len: 440; C: 3.8;     Score: 0.73
Size: 80; Len: 440; C: 4.2;     Score: 0.72
Size: 180; Len: 40; C: 0.2;     Score: 0.66
Size: 180; Len: 40; C: 0.6;     Score: 0.66
Size: 180; Len: 40; C: 1.0;     Score: 0.66
Size: 180; Len: 40; C: 1.4;     Score: 0.66
Size: 180; Len: 40; C: 1.8;     Score: 0.66
Size: 180; Len: 40; C: 2.2;     Score: 0.66
Size: 180; Len: 40; C: 2.6;     Score: 0.66
Size: 180; Len: 40; C: 3.0;     Score: 0.65
Size: 180; Len: 40; C: 3.4;     Score: 0.65
Size: 180; Len: 40; C: 3.8;     Score: 0.65
Size: 180; Len: 40; C: 4.2;     Score: 0.64
Size: 180; Len: 140; C: 0.2;     Score: 0.69
Size: 180; Len: 140; C: 0.6;     Score: 0.68
Size: 180; Len: 140; C: 1.0;     Score: 0.68
Size: 180; Len: 140; C: 1.4;     Score: 0.68
Size: 180; Len: 140; C: 1.8;     Score: 0.68
Size: 180; Len: 140; C: 2.2;     Score: 0.69
Size: 180; Len: 140; C: 2.6;     Score: 0.69
Size: 180; Len: 140; C: 3.0;     Score: 0.69
Size: 180; Len: 140; C: 3.4;     Score: 0.68
Size: 180; Len: 140; C: 3.8;     Score: 0.68
Size: 180; Len: 140; C: 4.2;     Score: 0.67
Size: 180; Len: 240; C: 0.2;     Score: 0.74
Size: 180; Len: 240; C: 0.6;     Score: 0.73
Size: 180; Len: 240; C: 1.0;     Score: 0.73
Size: 180; Len: 240; C: 1.4;     Score: 0.73
Size: 180; Len: 240; C: 1.8;     Score: 0.73
Size: 180; Len: 240; C: 2.2;     Score: 0.74
Size: 180; Len: 240; C: 2.6;     Score: 0.73
Size: 180; Len: 240; C: 3.0;     Score: 0.73
Size: 180; Len: 240; C: 3.4;     Score: 0.73
Size: 180; Len: 240; C: 3.8;     Score: 0.72
Size: 180; Len: 240; C: 4.2;     Score: 0.73
